PreySpiders,WolfSpiders
0.310782317,1.032165588
0.35867465,1.222349831
0.404807973,1.150967165
0.052793066,0.088781682
0.333052399,1.3259164
0.143881049,0.241184926
0.066013442,0.295092366
0.098906361,0.750870201
0.389965125,0.67585986
0.214489274,0.611623574
0.371555146,0.392291322
0.425013854,0.960918107
0.009778037,0.144817473
0.052639984,0.405239521
0.357281837,1.114621879
0.275083399,0.222205561
0.156171472,0.148464615
0.361916875,1.049001529
0.072009475,0.076633021
0.161771862,0.831736369
0.381930547,1.089145203
0.396270733,1.261016532
0.447081995,1.19905917
0.071859115,0.151128761
0.045391095,0.07174423
0.281428567,0.001180228
0.459104622,1.216478751
0.400058874,0.741268846
0.063410885,0.400993758
0.149779657,0.428566746
0.41210349,0.828031425
0.036761085,0.168546802
0.123053592,0.106637221
0.429710702,1.24870795
0.469911251,0.977419407
0.262532487,1.162794775
0.02068112,0.518156033
0.472323873,0.324002485
0.390640938,1.166410629
0.029453132,0.637827587
