RoadDensity,Forest,SqDens
9.685454112,Hardwood,3.50812331
6.458068243,Hardwood,8.424615396
6.790231112,Hardwood,5.687845303
1.559173909,Hardwood,7.908783973
4.336325272,Hardwood,8.14254153
9.068629108,Hardwood,5.520995844
5.273192052,Hardwood,6.017137459
3.496684658,Hardwood,7.264134361
3.073804337,Hardwood,8.687300781
2.923110167,Hardwood,6.813315314
9.343934285,Hardwood,4.920053613
4.542874254,Hardwood,8.467155221
9.145169586,Hardwood,6.890595294
6.71102274,Hardwood,7.071426167
9.410712849,Hardwood,5.810872648
1.698561588,Hardwood,9.725905514
7.517711946,Hardwood,5.654735791
5.506424957,Hardwood,8.048939553
7.086406609,Hardwood,6.202558436
5.53566688,Hardwood,5.862012409
1.151108909,Hardwood,9.316591736
9.079655807,Hardwood,5.118128198
6.461754485,Hardwood,5.227777075
5.600270198,Hardwood,7.875147317
5.658210376,Hardwood,5.775230086
0.547181678,Hardwood,8.42595941
3.691677251,Hardwood,8.207927777
9.917579181,Hardwood,4.358327025
5.937954867,Hardwood,6.319550741
2.02192663,Hardwood,9.449234049
0.859315845,Pine,10.22513106
6.726243962,Pine,3.30982931
3.647158784,Pine,7.31158212
9.084101766,Pine,3.634068042
8.218970732,Pine,3.363172176
0.314256034,Pine,8.786957496
8.571256232,Pine,1.515084484
3.586783374,Pine,6.322041056
5.263355221,Pine,6.06396793
2.128739816,Pine,9.339364062
4.433431954,Pine,6.381068666
5.466519224,Pine,5.300122122
6.154629563,Pine,4.533379574
1.968086599,Pine,8.164661995
1.884905247,Pine,9.612380508
3.286112072,Pine,8.415218046
6.309981802,Pine,5.427850047
1.081341011,Pine,9.930003924
4.241998263,Pine,7.856173103
3.838610973,Pine,8.592454247
4.228875244,Pine,6.824600489
8.377534363,Pine,2.733890574
0.531427611,Pine,11.66169282
1.792899384,Pine,10.15851734
4.164249308,Pine,5.784839203
0.84426634,Pine,9.301495357
7.069632141,Pine,3.373155274
7.734885882,Pine,1.894993088
2.88027213,Pine,8.881974294
4.910536949,Pine,6.871995534
